version 2020-09-28			
Data_field	Code	Beskrivning/Svensk översättning	Description/English translate
CLMET	F	Flowmeter reading	Flowmeter reading
CLMET	H	Haul length	Haul length
CLOUD	0	Inga moln	No clouds
CLOUD	1	1/8 eller mindre, men ej noll	1/8 or less, but not zero
CLOUD	2	2/8	2/8
CLOUD	3	3/8	3/8
CLOUD	4	4/8	4/8
CLOUD	5	5/8	5/8
CLOUD	6	6/8	6/8
CLOUD	7	7/8 eller mer, men ej 8/8	7/8 or more, but not 8/8
CLOUD	8	8/8	8/8
CLOUD	9	Ej observerad	not observed
CLOUD	10	växlande	baffling
CNTRY	77	Sverige	Sweden
CNTRY	26	Danmark	Denmark
CNTRY	34	Finland	Finland
ABUND_CLASS	1	påvisad	Observed
ABUND_CLASS	2	Flera celler	Several cells
ABUND_CLASS	3	1-10%	1-10%
ABUND_CLASS	4	10-50%	10-50%
ABUND_CLASS	5	50-100%	50-100%
ABUND_CLASS	1ROV	1-3 individer	1-3 individuals
ABUND_CLASS	2ROV	4-15 individer	4-15 individuals
ABUND_CLASS	4ROV	16-100 individer 	16-100 individuals
ABUND_CLASS	8ROV	taxa som helt dominerar någon bit av transekten	taxa that totaly dominates the transect
COV_EST	1	Enstaka exemplar (Upp till 5% täckning)	Isolated specimen (Up to 5% cover)
COV_EST	2	Sparsam, ganska vanlig (ca 5 till 20%)	More or less common (aproximatly 5 to 20%)
COV_EST	3	Vanlig (20 till 70%)	Common (20 till 70%)
COV_EST	4	Dominerande (mer än 70%)	Dominating (more than 70%)
DEPOS	1	Ingen sedimentpålagring	No sediment cover
DEPOS	2	Liten sedimentpålagring	Small sediment cover
DEPOS	3	Måttlig sedimentpålagring	Moderate sediment cover
DEPOS	4	Kraftig sedimentpålagring	Substantial sediment cover
DEPOS	H	Heavy coverage (>70% coverage), motsvarar 4: Kraftig sedimentpålagring i Undersökningstyp: Vegetationsklädda bottnar, ostkust (+++)	Heavy coverage (>70% coverage)
DEPOS	L	Little coverage (<30% coverage), motsvarar 2: Lite i Undersökningstyp: Vegetationsklädda bottnar, ostkust (+)	Little coverage (<30% coverage)
DEPOS	M	Moderate coverage (ca. 30-70% coverage), motsvarar 3: Mera i Undersökningstyp: Vegetationsklädda bottnar, ostkust (++)	Moderate coverage (ca. 30-70% coverage)
DEPOS	N	No deposits,motsvarar 1: Ingen sedimentationspålagring i Undersökningstyp: Vegetationsklädda bottnar, ostkust	No deposits
DTYPE	BACTPL	Bakterieplankton	Bacterioplankton
DTYPE	CHLA	Klorofyllhalt 	Chlorophyll
DTYPE	GSEAL	Gråsäl 	Grey seal
DTYPE	HSEAL	Knubbsäl 	Harbour seal
DTYPE	PHYCHE	Fysikalisk och kemisk data	Physical and chemical
DTYPE	EB	Vegetationsklädda bottnar	Epibenthos
DTYPE	PP	Växtplankton	Phytoplankton
DTYPE	PICOP	Picoplankton	Picoplankton
DTYPE	PRIMPROD	Primärproduktion	Primary production
DTYPE	PROFILE	Högupplöst profildata	High resolution profile data
DTYPE	RSEAL	Vikaresäl	Ringed seal
DTYPE	SEALPAT	Sälpatologi 	Seal pathology
DTYPE	SED	Sedimentation	Sedimentation
DTYPE	ZB	Mjukbottenfauna	Zoobenthos
DTYPE	ZP	Djurplankton	Zooplankton
DTYPE	HARPOR	Tumlare	Harbour porpoise
EXPOS	Ultra sheltered	Ultraskyddat	Ultra sheltered
EXPOS	Extremely sheltered	Extremt skyddat	Extremely sheltered
EXPOS	Very sheltered	Mycket skyddat	Very sheltered
EXPOS	Sheltered	Skyddat	Sheltered
EXPOS	Moderately exposed	Måttligt exponerat	Moderately exposed
EXPOS	Exposed	Exponerat	Exposed
EXPOS	Very exposed	Mycket exponerat	Very exposed
FCST	FD	Funnen död	Found dead
FCST	FG	Fiskeredskap	Fishing gear
FCST	FO	Funnen övrigt	Found other
FCST	LH	Legal jakt	Legal hunt
FNFLA	N	Nej	No
FNFLA	Y	Ja	Yes
HSUL_SMELL	N	Nej	No
HSUL_SMELL	Y	Ja	Yes
ICEOB	0	Ingen is.	No ice
ICEOB	1	Is förekommer i närheten, men ej identifierad till typ och mängd.	Existing ice, but not identified to type or amount.
ICEOB	2	Få isberg, mindre än 10.	Few icebergs, less than 10. 
ICEOB	3	Många isberg, mer än 10.	Many icebergs, more than 10. 
