BASIN_NR	location_sea_basin	location_sea_basin_en
1	01 - Bottenviken	01 - Bothnian Bay
2	02 - Norra Kvarken	02 - The Quark
3	03 - Bottenhavet	03 - Bothnian Sea
4	04 - Ålands hav	04 - Åland Sea
5	05 - Skärgårdshavet	05 - Archipelago Sea
6	06 - Finska viken	06 - Gulf of Finland
7	07 - Norra Gotlandshavet	07 - Northern Gotland Basin
8	08 - Västra Gotlandshavet	08 - Western Gotland Basin
9	09 - Östra Gotlandshavet	09 - Eastern Gotland Basin
10	10 - Rigabukten	10 - Gulf of Riga
11	11 - Gdanskbukten	11 - Gulf of Gdansk
12	12 - Bornholmshavet och Hanöbukten	12 - Bornholm Basin
13	13 - Arkonahavet och Södra Öresund	13 - Arkona Basin
14	14 - Bälthavet	14 - Belt Sea
15	15 - Öresund	15 - The Sound
16	16 - Kattegatt	16 - Kattegat
17	17 - Skagerrak	17 - Skagerrak
