scientific_name	author	rank	taxon_id	synonyms	Class	Order	Family	Genus	taxon_hierarchy	RecommendedGUID
Tetra�dron minimum	(A.Braun) Hansg.	species	257945		Chlorophyceae	Sphaeropleales	Hydrodictyaceae	Tetra�dron	Plantae - Viridiplantae - Chlorophyta - Chlorophyta - Chlorophyceae - Sphaeropleales - Hydrodictyaceae - Tetra�dron - Tetra�dron minimum	
Animalia		kingdom	5000001						Animalia	urn:lsid:dyntaxa.se:Taxon:5000001
Annelida		phylum	5000022						Animalia - Annelida	urn:lsid:dyntaxa.se:Taxon:5000022
Clitellata		class	4000051		Clitellata				Animalia - Annelida - Clitellata	urn:lsid:dyntaxa.se:Taxon:4000051
Crassiclitellata		order	6000990		Clitellata	Crassiclitellata			Animalia - Annelida - Clitellata - Crassiclitellata	urn:lsid:dyntaxa.se:Taxon:6000990
Lumbricidae		family	2000550		Clitellata	Crassiclitellata	Lumbricidae		Animalia - Annelida - Clitellata - Crassiclitellata - Lumbricidae	urn:lsid:dyntaxa.se:Taxon:2000550
Eiseniella	"Michaelsen, 1900"	genus	1006768		Clitellata	Crassiclitellata	Lumbricidae	Eiseniella	Animalia - Annelida - Clitellata - Crassiclitellata - Lumbricidae - Eiseniella	urn:lsid:dyntaxa.se:Taxon:1006768
Eiseniella tetraedra	"(Savigny, 1826)"	species	225581		Clitellata	Crassiclitellata	Lumbricidae	Eiseniella	Animalia - Annelida - Clitellata - Crassiclitellata - Lumbricidae - Eiseniella - Eiseniella tetraedra	urn:lsid:dyntaxa.se:Taxon:225581
Haplotaxida		order	6000987		Clitellata	Haplotaxida			Animalia - Annelida - Clitellata - Haplotaxida	urn:lsid:dyntaxa.se:Taxon:6000987
Naididae		family	2002942		Clitellata	Haplotaxida	Naididae		Animalia - Annelida - Clitellata - Haplotaxida - Naididae	urn:lsid:dyntaxa.se:Taxon:2002942
Naidinae	"Ehrenberg, 1828"	subfamily	6007845		Clitellata	Haplotaxida	Naididae		Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Naidinae	urn:lsid:dyntaxa.se:Taxon:6007845
Arcteonais	"Piguet, 1928"	genus	1006795		Clitellata	Haplotaxida	Naididae	Arcteonais	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Naidinae - Arcteonais	urn:lsid:dyntaxa.se:Taxon:1006795
Arcteonais lomondi	"(Martin, 1907)"	species	225634		Clitellata	Haplotaxida	Naididae	Arcteonais	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Naidinae - Arcteonais - Arcteonais lomondi	urn:lsid:dyntaxa.se:Taxon:225634
Paranais	"Czerniavsky, 1880"	genus	1006805		Clitellata	Haplotaxida	Naididae	Paranais	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Naidinae - Paranais	urn:lsid:dyntaxa.se:Taxon:1006805
