REG_ID	REG_ID_GROUP	STATION_NAME	SYNONYM_NAMES	ICES_STATION_NAME	LAT_DM	LONG_DM	LATITUDE_WGS84_SWEREF99_DD	LONGITUDE_WGS84_SWEREF99_DD	LATITUDE_SWEREF99TM	LONGITUDE_SWEREF99TM	OUT_OF_BOUNDS_RADIUS	WADEP	EU_CD	MEDIA	COMNT	OLD_SHARK_ID
135016	263603	N7 OST NIDINGEN	FLADEN1<or>FLADEN1(3)<or>KA 5<or>KA5<or>KA5 (N7)<or>N7<or>N7 OST NIDINGEN<or>OST NIDINGEN (N7)	Nidingen	5718.20	1159.30	57.3033	11.9883	6355167	318574	1200		SE635952-127000	Biota;Vatten		KANI52
135017	263604	KA6	KA 6<or>KA6<or>KA6 (L4)<or>Ka 6<or>Ka6<or>L4<or>LAHOLMSBUKTEN NORR (L4)	KA6	5637.00	1238.44	56.6167	12.6407	6277206	355221	1200		SE639274-131093	Vatten		
135265	263605	SK11	HÄLLSÖ<or>O NORRA HÄLLSÖ<or>SK 11<or>SK11<or>N HÄLLSÖ<or>Singlefjorden_05<or>Hällsö	SK11	5858.15	1105.43	58.9692	11.0905	6543192	275271	1200		SE654817-122892	Biota		
135266	263606	NORD-HÄLLSÖ			5858.00	1105.50	58.9667	11.0917	6542910	275322	1200			Vatten		FIBK32
135267	263607	SK12	N NORRA ÖDDÖ<or>SK 12<or>SK12<or>ÖDDÖ<or> N ÖDDÖ	SK12	5855.75	1108.36	58.9292	11.1393	6538580	277819	1200		SE654353-123141	Biota		
135268	263608	SK14	SK 14<or>SK14<or>STRO 6<or>STRO6<or>Skagerrak utsjö_7<or>V KOSTER	SK14	5851.00	1045.70	58.85	10.7617	6531093	255543	1200		SE653630-120903	Biota		
135269	263609	SK1	SK 1<or>SK1<or>Skagerrak utsjö_6<or>V VÄDERÖARNA<or>VADE 7<or>VADE7	SK1	5832.49	1047.49	58.5415	10.7915	6496677	255106	1200		SE650187-120818	Biota		
135270	263610	VÄDERÖ-4			5832.50	1048.00	58.5417	10.8	6496665	255601	1200			Vatten		SKEX04
135271	263611	SK2	LYSE 6<or>LYSE6<or>SK 2<or>SK2<or>Skagerrak utsjö_8<or>V LYSEKIL	SK2	5815.20	1103.50	58.2533	11.0583	6463684	268740	1200		SE646869-122142	Biota		
135272	263612	SK4	N SÖDRA SYSTER<or>N Södra syster<or>SK 4<or>SK4<or>Sk 4<or>Syd Koster yttre kust_9<or>SÖDRA SYSTER<or>VADE 4<or>VADE4<or>VÄDERÖFJORDEN<or>Väderöfjorden	SK4	5836.68	1108.47	58.6113	11.1412	6503221	275885	1200		SE650810-122911	Biota		
135273	263613	SK15	V KOSTER	SK15	5847.20	1109.52	58.7867	11.1587	6522665	278020	1300		SE652889-123151	Biota		
