scientific_name	authority	rank	aphia_id	url	parent_name	parent_id	status	valid_aphia_id	valid_name	valid_authority	kingdom	phylum	class	order	family	genus	classification
Protodinium simplex	Lohmann, 1908	Species	663583				accepted	663583	Protodinium simplex	Lohmann, 1908	Chromista	Myzozoa	Dinoflagellata incertae sedis	NA	NA	Protodinium	
Amphiprora paludosa var. paludosa	W. Smith, 1853	Variety	163647				unassessed	163646	Entomoneis paludosa	(W.Smith) Reimer, 1975	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Amphipleuraceae	Amphiprora	
Pennales	NA	Order	1304629				accepted	1304629	Pennales	NA	Chromista	Ochrophyta	Bacillariophyceae	Pennales	NA	NA	
Thalassiosira constricta	Gaarder, 1938	Species	345531				unassessed	1307640	Bacterosira constricta	(Gaarder, 1938) J.S. Park & J.H. Lee, 2016	Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
Meridion circulare var. circulare	(Greville) C.Agardh, 1831	Variety	180420				accepted	180420	Meridion circulare var. circulare	(Greville) C.Agardh, 1831	Chromista	Ochrophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Meridion	
Rhizosolenia longiseta	O.Zacharias, 1893	Species	163522				accepted	163522	Rhizosolenia longiseta	O.Zacharias, 1893	Chromista	Ochrophyta	Bacillariophyceae	Rhizosoleniales	Rhizosoleniaceae	Rhizosolenia	
Ankistrodesmus arcuatus	Korshikov, 1953	Species	575733				accepted	575733	Ankistrodesmus arcuatus	Korshikov, 1953	Plantae	Chlorophyta	Chlorophyceae	Sphaeropleales	Selenastraceae	Ankistrodesmus	
Bacillariophyta			148898				unaccepted	148899	Bacillariophyceae	Haeckel, 1878	Chromista	Bacillariophyta					
Katablepharis remigera	(N.Vv?rs) B.Clay & P.Kugrens, 2000	Species	627117				accepted	627117	Katablepharis remigera	(N.Vv?rs) B.Clay & P.Kugrens, 2000	Chromista	Cryptophyta	Cryptophyta incertae sedis		Katablepharidaceae	Katablepharis	
Octactis speculum	(Ehrenberg) F.H.Chang, J.M.Grieve & J.E.Sutherland, 2017	Species	1310442				accepted	1310442	Octactis speculum	(Ehrenberg) F.H.Chang, J.M.Grieve & J.E.Sutherland, 2017	Chromista	Ochrophyta	Dictyochophyceae	Dictyochales	Dictyochaceae	Octactis	
Actiniidae	Rafinesque, 1815	Family	100653	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100653	Actinioidea	853973	accepted	100653	Actiniidae	Rafinesque, 1815	Animalia	Cnidaria	Anthozoa	Actiniaria	Actiniidae		[] Biota - [Kingdom] Animalia - [Phylum] Cnidaria - [Class] Anthozoa - [Subclass] Hexacorallia - [Order] Actiniaria - [Suborder] Enthemonae - [Superfamily] Actinioidea - [Family] Actiniidae
Edwardsiidae	Andres, 1881	Family	100665	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100665	Edwardsioidea	888373	accepted	100665	Edwardsiidae	Andres, 1881	Animalia	Cnidaria	Anthozoa	Actiniaria	Edwardsiidae		[] Biota - [Kingdom] Animalia - [Phylum] Cnidaria - [Class] Anthozoa - [Subclass] Hexacorallia - [Order] Actiniaria - [Suborder] Anenthemonae - [Superfamily] Edwardsioidea - [Family] Edwardsiidae
Sagartiidae	Gosse, 1858	Family	100681	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100681	Metridioidea	854224	accepted	100681	Sagartiidae	Gosse, 1858	Animalia	Cnidaria	Anthozoa	Actiniaria	Sagartiidae		[] Biota - [Kingdom] Animalia - [Phylum] Cnidaria - [Class] Anthozoa - [Subclass] Hexacorallia - [Order] Actiniaria - [Suborder] Enthemonae - [Superfamily] Metridioidea - [Family] Sagartiidae
Cerianthidae	Milne Edwards & Haime, 1851	Family	100684	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100684	Spirularia	151646	accepted	100684	Cerianthidae	Milne Edwards & Haime, 1851	Animalia	Cnidaria	Anthozoa	Spirularia	Cerianthidae		[] Biota - [Kingdom] Animalia - [Phylum] Cnidaria - [Class] Anthozoa - [Subclass] Ceriantharia - [Order] Spirularia - [Family] Cerianthidae
Urticina	Ehrenberg, 1834	Genus	100706	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100706	Actiniidae	100653	accepted	100706	Urticina	Ehrenberg, 1834	Animalia	Cnidaria	Anthozoa	Actiniaria	Actiniidae	Urticina	[] Biota - [Kingdom] Animalia - [Phylum] Cnidaria - [Class] Anthozoa - [Subclass] Hexacorallia - [Order] Actiniaria - [Suborder] Enthemonae - [Superfamily] Actinioidea - [Family] Actiniidae - [Genus] Urticina
