parameter,mild_upper,extreme_upper,datatype
Bacterial carbon production,765842329,1200706084,Bacterioplankton
Bacterial abundance,4686343500,6779382000,Bacterioplankton
Bacterial cell carbon content,18.96,20.76,Bacterioplankton
Chlorophyll-a,6.25,9.4,Chlorophyll
Abundance,85155831,133564616,Picoplankton
Biovolume concentration,0.05928825,0.09323008,Picoplankton
Carbon concentration,13.27727,20.85692,Picoplankton
# counted,461.5,733,Picoplankton
Abundance,1092.02,1731.232,Zooplankton
# counted,54.5,86,Zooplankton
Length (mean),1286.662,1898.325,Zooplankton
Length (median),1287,1899,Zooplankton
Wet weight,0.82,1.3,Zooplankton
Carbon content,3.88,6.16,Zooplankton
Wet weight/volume,9.816648,15.54263,Zooplankton
Wet weight/area,372.6163,593.9886,Zooplankton
Abundance,39460,62920,Phytoplankton
Biovolume concentration,0.01514523,0.02397705,Phytoplankton
Carbon concentration,1.679784,2.653602,Phytoplankton
# counted,52,82,Phytoplankton
Carbon production,36.6904,58.41079,Primary production
Carbon prod in light,36.6904,58.41079,Primary production
Carbon production/hour,11.86375,18.6775,Primary production
# counted,87,138,Epibenthos
Dry weight,0.2303094,0.367895,Epibenthos
Species distribution max depth,29.3125,44.425,Epibenthos
Species distribution min depth,13.075,20.65,Epibenthos
# counted,162.5,260,Harbour seal
# counted,397.25,632,Grey seal
BQIm,18.52294,26.96423,Zoobenthos
Abundance,185,290,Zoobenthos
# counted,21,33,Zoobenthos
Wet weight,0.5395,0.859,Zoobenthos
Calculated # counted,28.247,41.6792,Ringed seal
Porpoise positive minutes,189.5,299,Harbour Porpoise
